Timestamp,Elevation (deg),Azimuth (deg),WS600 Ambient Temperature (C),G-1 Ambient Temperature (C),G-2 Ambient Temperature (C),D2 Ambient Temperature (C),WS600 Ambient Pressure (kPa),G-1 Ambient Pressure (kPa),G-2 Ambient Pressure (kPa),D2 Ambient Pressure (kPa),WS600 Ambient Humidity (%),G-1 Ambient Humidity (%),G-2 Ambient Humidity (%),WS600 Dew Point (C),WS600 Wind Speed (m/s),WS600 Wind Direction (deg),WS600 Precipitation (mm),WS600 Precipitation Type,SMP21 GHI (W/m2),G-1 GHI (W/m2),SMP21 DHI (W/m2),SHP1 DNI (W/m2),D2 DNI (W/m2),SMP21 GTI (W/m2),G-2 GTI (W/m2),SGR4 IR (W/m2),O3 (DU),H2O (mm),AOD 368 nm,AOD 412 nm,AOD 500 nm,AOD 675 nm,AOD 862 nm,AOD 1024 nm
2019-12-15 00:00:00,-69.764,350.331,2.6,3.52,3.336,2.811,98.663,98.667,98.808,98.564,77.3,69.5,65.042,-0.9,3.633,238.342,49,0,-2.055,-1,-2.09,-1.1,-1,-0.698,-1,313.733,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:01:00,-69.793,350.989,2.6,3.52,3.332,2.803,98.664,98.663,98.805,98.562,77.33,69.575,65.092,-0.93,3.785,236.968,49,0,-2.09,-1,-2.1,-1.1,-1,-0.6,-1,314.09,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:02:00,-69.821,351.65,2.6,3.514,3.331,2.805,98.656,98.662,98.804,98.558,77.4,69.542,65.1,-0.97,3.315,239.948,49,0,-2.118,-1,-2.1,-1.1,-1,-0.603,-1,313.963,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:03:00,-69.846,352.312,2.6,3.519,3.332,2.81,98.664,98.666,98.807,98.56,77.43,69.6,65.1,-0.93,2.768,236.938,49,0,-2.097,-1,-2.1,-1.1,-1,-0.582,-1,313.94,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:04:00,-69.87,352.975,2.6,3.52,3.335,2.812,98.656,98.668,98.81,98.567,77.56,69.608,65.192,-0.97,3.56,245.562,49,0,-2.16,-1,-2.1,-1.1,-1,-0.5,-1,314.007,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:05:00,-69.891,353.64,2.6,3.513,3.329,2.812,98.667,98.667,98.805,98.565,77.67,69.6,65.2,-0.9,4,243.61,49,0,-2.173,-1,-2.1,-1.1,-1,-0.5,-1,314.123,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:06:00,-69.91,354.306,2.6,3.513,3.327,2.812,98.66,98.665,98.806,98.565,77.6,69.6,65.2,-0.9,3.265,245.37,49,0,-2.147,-1,-2.1,-1.1,-1,-0.5,-1,314.082,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:07:00,-69.927,354.973,2.6,3.513,3.324,2.812,98.66,98.663,98.803,98.562,77.57,69.6,65.2,-0.93,3.202,237.095,49,0,-2.137,-1,-2.1,-1.1,-1,-0.5,-1,314.01,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:08:00,-69.942,355.64,2.6,3.51,3.322,2.809,98.657,98.666,98.803,98.564,77.56,69.683,65.2,-0.97,4.172,238.675,49,0,-2.212,-1,-2.128,-1.1,-1,-0.5,-1,313.945,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-15 00:09:00,-69.955,356.309,2.6,3.506,3.319,2.797,98.65,98.668,98.807,98.568,77.73,69.667,65.2,-0.9,4.15,249.423,49,0,-2.265,-1,-2.183,-1.1,-1,-0.5,-1,313.953,-1,-1,-1,-1,-1,-1,-1,-1
